sample,pct_miss,city,site_abbv,nlcd_urban_pct,id,management_type,name,value
TO.BA.LL-3.M.1,(61),Baltimore,LL-3,11.01493048061913,1,M,K3,0.001
TO.BA.LL-3.M.2,(78),Baltimore,LL-3,11.01493048061913,2,M,K1,0.59
TO.BA.LL-3.M.2,(78),Baltimore,LL-3,11.01493048061913,2,M,K2,0.407
TO.BA.LL-3.M.2,(78),Baltimore,LL-3,11.01493048061913,2,M,K3,0.002
TO.BA.LL-3.M.4,(64),Baltimore,LL-3,11.01493048061913,4,M,K1,0.998
TO.BA.LL-3.M.4,(64),Baltimore,LL-3,11.01493048061913,4,M,K2,0.001
TO.BA.LL-3.M.4,(64),Baltimore,LL-3,11.01493048061913,4,M,K3,0.002
TO.MN.L04-TO.M.2,(61),Minneapolis,L04-TO,11.64256192719538,2,M,K1,0.003
TO.MN.L04-TO.M.2,(61),Minneapolis,L04-TO,11.64256192719538,2,M,K2,0.001
TO.MN.L04-TO.M.2,(61),Minneapolis,L04-TO,11.64256192719538,2,M,K3,0.996
TO.MN.L04-TO.M.4,(52),Minneapolis,L04-TO,11.64256192719538,4,M,K1,0.016
TO.MN.L04-TO.M.4,(52),Minneapolis,L04-TO,11.64256192719538,4,M,K2,0.017
TO.MN.L04-TO.M.4,(52),Minneapolis,L04-TO,11.64256192719538,4,M,K3,0.967
TO.MN.L04-TO.M.5,(58),Minneapolis,L04-TO,11.64256192719538,5,M,K1,0.004
TO.MN.L04-TO.M.5,(58),Minneapolis,L04-TO,11.64256192719538,5,M,K2,0.001
TO.MN.L04-TO.M.5,(58),Minneapolis,L04-TO,11.64256192719538,5,M,K3,0.995
TO.MN.L09-TO.U.2,(65),Minneapolis,L09-TO,12.380895458945917,2,U,K1,0.998
TO.MN.L09-TO.U.2,(65),Minneapolis,L09-TO,12.380895458945917,2,U,K2,0.002
TO.MN.L09-TO.U.2,(65),Minneapolis,L09-TO,12.380895458945917,2,U,K3,0.001
TO.MN.L09-TO.U.4,(60),Minneapolis,L09-TO,12.380895458945917,4,U,K1,0.998
TO.MN.L09-TO.U.4,(60),Minneapolis,L09-TO,12.380895458945917,4,U,K2,0.001
TO.MN.L09-TO.U.4,(60),Minneapolis,L09-TO,12.380895458945917,4,U,K3,0.001
TO.MN.L09-TO.U.5,(61),Minneapolis,L09-TO,12.380895458945917,5,U,K1,0.998
TO.MN.L09-TO.U.5,(61),Minneapolis,L09-TO,12.380895458945917,5,U,K2,0.001
TO.MN.L09-TO.U.5,(61),Minneapolis,L09-TO,12.380895458945917,5,U,K3,0.001
TO.MN.L10-TO.U.1,(58),Minneapolis,L10-TO,13.71884588227146,1,U,K1,0.028
TO.MN.L10-TO.U.1,(58),Minneapolis,L10-TO,13.71884588227146,1,U,K2,0.001
TO.MN.L10-TO.U.1,(58),Minneapolis,L10-TO,13.71884588227146,1,U,K3,0.971
TO.MN.L10-TO.U.2,(64),Minneapolis,L10-TO,13.71884588227146,2,U,K1,0.656
TO.MN.L10-TO.U.2,(64),Minneapolis,L10-TO,13.71884588227146,2,U,K2,0.343
TO.MN.L10-TO.U.2,(64),Minneapolis,L10-TO,13.71884588227146,2,U,K3,0.001
TO.MN.L10-TO.U.3,(62),Minneapolis,L10-TO,13.71884588227146,3,U,K1,0.572
TO.MN.L10-TO.U.3,(62),Minneapolis,L10-TO,13.71884588227146,3,U,K2,0.425
TO.MN.L10-TO.U.3,(62),Minneapolis,L10-TO,13.71884588227146,3,U,K3,0.003
TO.MN.L10-TO.U.4,(57),Minneapolis,L10-TO,13.71884588227146,4,U,K1,0.999
TO.MN.L10-TO.U.4,(57),Minneapolis,L10-TO,13.71884588227146,4,U,K2,0.001
TO.MN.L10-TO.U.4,(57),Minneapolis,L10-TO,13.71884588227146,4,U,K3,0.001
TO.BO.WL1.M.2,(54),Boston,WL1,14.533204650130944,2,M,K1,0.43
TO.BO.WL1.M.2,(54),Boston,WL1,14.533204650130944,2,M,K2,0.565
TO.BO.WL1.M.2,(54),Boston,WL1,14.533204650130944,2,M,K3,0.005
TO.BO.WL1.M.3,(64),Boston,WL1,14.533204650130944,3,M,K1,0.652
